Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-15.0,26.32337066377901,21.32038587478964,14.737010874678159,6.572441568879526,-2.350162793538116,-8.44130061799062,-13.784223721251832,-18.34844360876746,-22.14736987788379
-14.9,26.428902450736633,21.40821831639216,14.828884100660536,6.671462535128378,-2.255969385123429,-8.36076460906205,-13.72422935621895,-18.31252255573656,-22.13670934351934
-14.8,26.53638346198672,21.497385765279382,14.921757956193666,6.771440175111885,-2.160718270796342,-8.279153493220981,-13.663244799681763,-18.27577740769463,-22.12544255107552
-14.7,26.645860740407116,21.587921505472366,15.0156551070829,6.872391699696487,-2.0643925419909,-8.196449606460666,-13.601252517358095,-18.238191987969625,-22.113555744436464
-14.6,26.757382726912827,21.679859891668,15.110598941087806,6.974334816052707,-1.9669748787739287,-8.112634878874067,-13.53823456385176,-18.19974971497776,-22.101034788442675
-14.5,26.870999307014465,21.77323639140866,15.206613596428028,7.077287745880683,-1.8684475371324978,-8.027690823606317,-13.474172571884084,-18.16043359126517,-22.087865157900556
-14.4,26.986761858793617,21.868087629159163,15.30372399162566,7.181269244439972,-1.7687923357906388,-7.94159852547805,-13.409047741245113,-18.12022619226524,-22.07403192628586
-14.3,27.104723302302546,21.96445143238381,15.401955856756455,7.2862986204254545,-1.6679906425344497,-7.85433862926902,-13.342840827459604,-18.079109654767382,-22.059519754134996
-14.2,27.22493815039007,22.062366879720845,15.501335766185326,7.392395756733369,-1.5660233600240607,-7.765891327652193,-13.275532130161684,-18.037065665092026,-22.044312877117957
-14.1,27.347462560947505,22.16187435135584,15.601891172867058,7.499581132164238,-1.4628709110695257,-7.676236348767361,-13.207101481174163,-17.994075446968285,-22.02839509378772
-14.0,27.472354390561346,22.263015581700508,15.703650444297793,7.6078758441121686,-1.3585132233467536,-7.5853529434237155,-13.137528232286446,-17.950119749110023,-22.011749752999915
-13.9,27.599673249549237,22.365833714487984,15.806642900207564,7.717301632293172,-1.2529297135279835,-7.493219871920039,-13.066791242727438,-17.90517883248659,-21.99435974099792
-13.8,27.72948055834465,22.47037336040068,15.91089885209024,7.827880903568393,-1.146099270800216,-7.39981539047128,-12.994868866327892,-17.85923245728557,-21.976207468158528
-13.7,27.86183960518339,22.57668065735148,16.016449644672353,7.939636757921338,-1.0380002397434422,-7.3051172372295605,-12.921738938368925,-17.812259869564087,-21.957274855393226
-13.6,27.99681560502975,22.684803333544565,16.123327699429343,8.052593015652139,-0.9286104025390971,-7.209102617887921,-12.847378762112209,-17.764239787586938,-21.937543320201424
-13.5,28.134475759663978,22.794790773446653,16.23156656026325,8.166774245855592,-0.8179069604770087,-7.111748190854131,-12.771765095008517,-17.715150387849874,-21.916993762371575
-13.4,28.2748893188324,22.906694086804823,16.34120094146377,8.282205796254148,-0.7058665147283459,-7.013030051982293,-12.69487413458197,-17.664969290786598,-21.895606549327457
-13.3,28.418127642340423,23.020566180851812,16.452266778081484,8.398913824461385,-0.5924650463488325,-6.9129237188490995,-12.616681503986635,-17.613673546159824,-21.87336150111691
-13.2,28.56426426294274,23.136461835845125,16.564801278850055,8.516925330756377,-0.4776778954759313,-6.8114041145617215,-12.537162237234238,-17.5612396181363,-21.850237875041575
-13.1,28.713374949856114,23.254437784089824,16.6788429818026,8.63626819245424,-0.36147973968024627,-6.708445551083526,-12.456290764091134,-17.50764337004794,-21.82621434992661
-13.0,28.865537772687972,23.374552792600635,16.794431812736065,8.756971199964543,-0.2438445714301412,-6.604021712064406,-12.37404089464398,-17.45286004884088,-21.80126901003039
-12.9,29.020833165536093,23.496867749561865,16.911609146687294,8.879064094633833,-0.12474567462533155,-6.498105635160727,-12.290385803534537,-17.396864269216803,-21.77537932859549
-12.8,29.179343990972324,23.62144575474788,17.030417872593873,9.002577608476281,-0.004155600153059491,-6.390669693831597,-12.205298013864038,-17.339629997470738,-21.74852215104298
-12.7,29.341155603575725,23.748352214069417,17.150902461323458,9.127543505902185,0.11795385958261075,-6.281685578595791,-12.11874938076964,-17.281130535032254,-21.720673677813817
-12.6,29.506355912625484,23.877654938413315,17.273109037267062,9.253994627561932,0.24161169721063924,-6.171124277734966,-12.030711074675734,-17.22133850171763,-21.691809446862205
-12.5,29.675035443502406,24.009424246944032,17.39708545370248,9.381964936430842,0.36684771807782257,-6.058956057428,-11.941153564224843,-17.160225818702592,-21.661904315807547
-12.4,29.84728739727827,24.143733075035527,17.52288137214743,9.511489566268502,0.4936925691276999,-5.945150441300279,-11.850046598893202,-17.097763691227343,-21.63093244375359
-12.3,30.023207707893306,24.280657087000183,17.65054834593434,9.642604872595093,0.6221777690363055,-5.829676189373243,-11.757359191298846,-17.033922591047332,-21.59886727278505
-12.2,30.202895096233124,24.42027479377782,17.780139908252945,9.775348486337698,0.7523357396718606,-5.712501276397258,-11.663059599210678,-16.968672238645933,-21.565681509154448
-12.1,30.386451120315954,24.562667675742482,17.911711664921032,9.909759370308505,0.8841998389494103,-5.593592869552083,-11.56711530726934,-16.901981585227116,-21.531347104174053
-12.0,30.5739802206883,24.707920310775837,18.04532139215894,10.045877878689673,1.0178043951568727,-5.472917305498648,-11.469493008432723,-16.833818794510073,-21.495835234831056
-11.9,30.765589759999305,24.856120507744766,18.18102913965897,10.183745819710296,1.1531847428325899,-5.350440066764957,-11.370158585160933,-16.764151224349717,-21.459116284146365
-11.8,30.96139005558106,25.00735944550489,18.318897339257756,10.32340652171418,1.290377260281672,-5.226125757450222,-11.26907709035842,-16.692945408211084,-21.421159821301384
-11.7,31.16149440370113,25.161731817532353,18.45899091953614,10.464904902831123,1.4294194088225867,-5.099938078229347,-11.1662127280932,-16.62016703652926,-21.381934581560227
-11.6,31.36601909397227,25.319335982260217,18.601377426689268,10.608287544478822,1.5703497738630512,-4.971839800641557,-11.061528834116421,-16.545780937990408,-21.341408446019095
-11.5,31.57508341220201,25.4802741191648,18.746127152027203,10.753602768938675,1.7132081079102024,-4.841792740645605,-10.954987856208852,-16.46975106077404,-21.299548421219004
-11.4,31.788809629736402,25.644652390607206,18.893313266485098,10.900900721265463,1.8580353756277967,-4.709757731424647,-10.846551334384301,-16.392040453801883,-21.25632061866237
-11.3,32.00732297709858,25.81258110938822,19.04301196254084,11.05023345580938,2.0048738010611413,-4.575694595423367,-10.736179880983904,-16.31261124804338,-21.211690234280034
-11.2,32.230751599436736,25.98417491191572,19.1953026039562,11.201655027648327,2.1537669171590452,-4.439562115600667,-10.623833160699641,-16.231424637934683,-21.165621527900235
-11.1,32.45922649097887,26.159552936812855,19.350267883776677,11.355221589248966,2.3047596177306016,-4.301318005880591,-10.50946987057048,-16.148440862973768,-21.118077802778274
-11.0,32.69288140533612,26.338839008711183,19.50799399104304,11.510991492698238,2.457898211986623,-4.160918880784734,-10.393047719999199,-16.06361918956176,-21.069021385251805
-10.899999999999999,32.93185273810081,26.52216182687,19.668570786684544,11.669025397869586,2.6132304818236722,-4.018320224229488,-10.274523410844019,-15.976917893167862,-21.018413604595032
-10.8,33.17627937774594,26.709655158142695,19.832091989080077,11.82938638691519,2.7708057420231564,-3.8734763574720494,-10.153852617645725,-15.888294240904544,-20.966214773152867
-10.7,33.42630252034376,26.901458033665737,19.998655369786995,11.99214008550119,2.930674903548576,-3.7263404061887555,-10.030989968056724,-15.797704474607954,-20.912384166845694
-10.6,33.68206544307995,27.097714948475314,20.168362959948926,12.157354791233013,3.092890540139184,-3.5768642666709205,-9.905889023547694,-15.705103794529123,-20.856880006145445
-10.5,33.94371323094117,27.29857606305346,20.341321267901666,12.325101609747934,3.257506958412768,-3.424998571122702,-9.778502260473731,-15.610446343752796,-20.79965943763407
-10.399999999999999,34.211392450292735,27.50419740556689,20.517641508499356,12.495454598984598,3.4245802717064495,-3.2706926520473227,-9.64878105159272,-15.513685193472027,-20.74067851626845
-10.3,34.48525076233666,27.714741073279523,20.69743984468029,12.668490922173715,3.5941684779019836,-3.113894505708104,-9.51667564813687,-15.414772329260597,-20.67989218848807
-10.2,34.76543646864234,27.930375431289082,20.880837641782346,12.844291010130487,3.7663315415016356,-2.9545507546520087,-9.38213516255056,-15.313658638499145,-20.617254276316572
-10.1,35.052097980069995,28.15127530634832,21.067961735097008,13.02293873346671,3.941131480240385,-2.792606609284745,-9.245107552017888,-15.210293899126873,-20.552717462623704
-10.0,35.34538319945748,28.377622173076492,21.258944711121167,13.204521585380782,4.118632456543428,-2.628005828487699,-9.105539602917544,-15.104626769907416,-20.486233277731614
-9.899999999999999,35.64543880741026,28.609604329332274,21.45392520291843,13.38913087572389,4.298900874161433,-2.4606906792685517,-8.963376916355635,-14.996604782416608,-20.417752087567802
-9.8,35.95240943942406,28.84741705689531,21.653048199938755,13.576861937084109,4.482005480342815,-2.2906018954397176,-8.818563894942939,-14.886174334979648,-20.34722308358719
-9.7,36.26643674137721,29.091262762875967,21.856465372557974,13.767814343671976,4.668017473929779,-2.117678635320397,-8.671043730999632,-14.77328068880771,-20.274594274708903
-9.6,36.58765828916115,29.34135109642222,22.064335411485416,13.962092143835084,4.857010619795892,-1.9418584384614443,-8.52075839638911,-14.657867966608006,-20.19981248153632
-9.5,36.91620635687776,29.597899034304348,22.27682438204114,14.159804107072059,5.049061370075642,-1.7630771813946697,-8.367648634202041,-14.53987915396759,-20.1228233331563
-9.399999999999999,37.25220651663193,29.861130927807487,22.494106093116084,14.36106398645783,5.2442489926714195,-1.581269032412018,-8.211653952534425,-14.419256103840114,-20.043571266841855
-9.3,37.59577605150165,30.131278502025477,22.71636248039121,14.565990797431333,5.442655707561804,-1.3963664053845957,-8.052712620626936,-14.295939544495633,-19.961999531014097
-9.2,37.94702216180014,30.408580797100825,22.9437840030952,14.774709113931866,5.644366831474945,-1.208299912635841,-7.890761667659036,-14.16986909132804,-19.87805019185313
-9.1,38.306039943281945,30.69328403916058,23.176570053208835,14.987349382899653,5.849470931534723,-1.0169983168895262,-7.725736884520597,-14.040983262951414,-19.791664143985056
-9.0,38.67291011452986,30.985641426624507,23.414929375567095,15.204048258176886,6.05805998853299,-0.8223884823198774,-7.557572828914452,-13.909219502057283,-19.7027811257126
-8.899999999999999,39.04769646944117,31.285912815168,23.659080496743695,15.424948954854784,6.2702295705299305,-0.6243953247391146,-7.3862028341786985,-13.774514201548518,-19.611339739301066
-8.8,39.430443029577404,31.594364281867957,23.90925215991037,15.65020162510574,6.48607901753581,-0.42294176096743225,-7.21155902225429,-13.636802736514014,-19.517277476878892
-8.7,39.821170870232265,31.911267545892972,24.1656837620125,15.879963756513316,6.7057116380809045,-0.21794865744172556,-7.033572321265947,-13.49601950265987,-19.420530752564762
-8.6,40.21987459350983,32.23689921947333,24.428625788568098,16.1144005938587,6.929234918535504,-0.009334778132806072,-6.852172488229116,-13.35209796187021,-19.321034941489444
-8.5,40.62651842161442,32.57153985874348,24.698340240134385,16.353685585234626,7.1567607460983815,0.20298326814295975,-6.667288137445978,-13.204970695632587,-19.21872442644243
-8.399999999999999,41.04103188408192,32.91547277933339,24.97510104295479,16.598000853225383,7.38840564642904,0.4190910809124343,-6.478846775208286,-13.05456946712968,-19.11353265294024
-8.3,41.46330507401072,33.268982596238956,25.259194434441444,16.84753769170264,7.62429103695461,0.6390765216066229,-6.2867748414854505,-12.900825292873833,-19.00539219358594
-8.2,41.893183450684845,33.63235344146841,25.550919311901026,17.102497088526917,7.86454349693615,0.8630297673379285,-6.090997759342142,-12.743668524839041,-18.894234822668565
-8.1,42.33046216956419,34.005866806191726,25.85058753019685,17.363090274093313,8.109295055426585,1.0910433647038282,-5.891439992904041,-12.583028944133751,-18.779991602036727
-8.0,42.774879925722,34.38979894657217,26.158524130766395,17.629539295196963,8.358683498294134,1.3232122833878754,-5.68802511477013,-12.418835867351286,-18.662592979373187
-7.8999999999999995,43.226112303741345,34.78441778411304,26.475067480472102,17.9020776130854,8.612852695513434,1.5596339692780394,-5.480675883860539,-12.251018266838555,-18.54196890009875
-7.8,43.68376463617576,35.18997922221024,26.80056929402577,18.180950723780896,8.871952949938715,1.800408396765002,-5.269314334787307,-12.079504906235805,-18.41804893424231
-7.699999999999999,44.14736438428647,35.60672279070839,27.135394508042854,18.466416797746103,9.136141368762484,2.0456381198093014,-5.053861879945704,-11.904224492762175,-18.29076241973248
-7.6,44.616353069250245,36.034866519712416,27.47992096797555,18.758747334679274,9.405582258819031,2.295428321278604,-4.834239425646153,-11.72510584785555,-18.160038623694128
-7.5,45.09007779974151,36.47460093288787,27.834538881038313,19.058227827591725,9.680447546807255,2.5498868599484124,-4.610367503742645,-11.542078097919568,-18.02580692347177
-7.3999999999999995,45.567782463040544,36.92608203926824,28.199649978537504,19.365158428253405,9.96091722536183,2.8091243144283258,-4.382166420365799,-11.35507088708905,-17.88799700925139
-7.3,46.048598671856965,37.38942319159772,28.575666319480238,19.679854603491478,10.247179825685093,3.0732540231136025,-4.149556423538797,-11.164014614097132,-17.74653911031425
-7.199999999999999,46.531536588013104,37.86468566906891,28.963008653656452,20.002647768558052,10.539432917132924,3.342392119064539,-3.9124578916456727,-10.968840695514864,-17.601364247130405
-7.1,47.015475776972345,38.35186783378858,29.36210424622344,20.33388587969058,10.837883633703461,3.6166575584713683,-3.6707915449361326,-10.769481857838603,-17.452404511689043
-7.0,47.499156283660014,38.850892704533855,29.77338404680252,20.67393396287336,11.142749226764733,3.8961721410630274,-3.42447868249415,-10.565872461123742,-17.299593378664575
-6.9,47.981170159538856,39.36159378979862,30.19727906382601,21.02317454942874,11.45425764253174,4.181060520447646,-3.1734414473729395,-10.357948857106956,-17.14286605023732
-6.799999999999999,48.459953712525184,39.88369902665331,30.634215778952747,21.38200798112601,11.772648121699865,4.471450201915138,-2.9176031229112405,-10.145649785024485,-16.9821598376223
-6.699999999999999,48.933780793656496,40.41681268491118,31.084610406419607,21.75085253762957,12.098171817184866,4.767471524667958,-2.6568884636037082,-9.928916808625772,-16.817414582612518
-6.6,49.40075747552152,40.9603951204133,31.54886176789831,22.130144326870514,12.431092424007085,5.069257624745934,-2.3912240643071905,-9.707694798198943,-16.648573122715057
-6.5,49.85881851482939,41.513740300404415,32.02734251458804,22.520336863778265,12.771686812862768,5.376944374044204,-2.1205387720355575,-9.48193246177361,-16.475581803749073
-6.4,50.30572602203312,42.07595108203661,32.520388384918945,22.92190024409435,13.120245655687688,5.690670289747567,-1.8447641451402332,-9.25158293004901,-16.2983910440871
-6.299999999999999,50.73907078098227,42.645912306581536,33.02828513873822,23.335319796923493,13.477074027329389,6.010576407169189,-1.5638349653049994,-9.016604400015375,-16.116955955054117
-6.199999999999999,51.156276667062656,43.22226188185946,33.55125275809963,23.76109407131843,13.84249196204461,6.336806107319391,-1.2776898085199542,-8.77696084269919,-15.931237022356145
-6.1,51.55460859883672,43.80336016861834,34.08942645244992,24.199731977432712,14.216834936594385,6.669504888464176,-0.9862716820610904,-8.53262278097352,-15.741200853789442
-6.0,51.93118442151233,44.38725816751925,34.64283395487643,24.651748860323725,14.600454242799897,7.008820068357422,-0.689528735516199,-8.283568143939487,-15.546820998887878
-5.9,52.282991056772815,44.97166522512255,35.21136855045084,25.117661232863153,14.993717201011906,7.354900400620533,-0.3874150550938691,-8.029783205011109,-15.348078846595746
-5.799999999999999,52.60690515965837,45.5539172405867,35.79475724392979,25.59797983177324,15.397007151361025,7.707895584738126,-0.0798915518731702,-7.771263611534121,-15.144964607512502
-5.699999999999999,52.899718397873826,46.13094665671415,36.392523461203275,26.093200585783094,15.810723141038876,8.067955644136717,0.23307304365775725,-7.50801551454751,-14.937478387741612
-5.6,53.15816731277003,46.69925585112412,37.00394369939507,26.603792995502886,16.235279202139044,8.435230140565134,0.5515010664030076,-7.240056808171707,-14.72563136189053
-5.5,53.378967537602804,47.25489589005185,37.62799761106891,27.13018531920877,16.671103084409086,8.809867185185594,0.8754046640022223,-6.9674184890921,-14.509447053314465
-5.399999999999999,53.55885194383237,47.79345294384412,38.26331115011234,27.67274583614524,17.118634268949414,9.19201219701748,1.204784386991075,-6.690146147721539,-14.288962730273003
-5.299999999999999,53.69461206969287,48.31004495445386,38.90809264735026,28.231759318937616,17.578321040347905,9.581806347161471,1.539627598520749,-6.408301603895653,-14.064230927278418
-5.199999999999999,53.78314196952753,48.79933134503833,39.560062054650565,28.80739769069505,18.050616333386415,9.97938461195409,1.8799066760891132,-6.121964701406628,-13.83532110155877
-5.1,53.821483422348,49.25553861437016,40.216374132877476,29.39968367455535,18.535971993163773,10.384873339099826,2.225576972524482,-5.8312352773534775,-13.60232143523968
-5.0,53.80687126999798,49.67250450234732,40.873537097925734,30.008446072289185,19.034830990482995,10.798387206952263,2.5765744971086346,-5.5362353242210895,-13.365340794571102
-4.899999999999999,53.73677753538171,50.043742986231955,41.52732921178111,30.633265149178612,19.547617013225018,11.220025427305059,2.9328132699641407,-5.237111364853032,-13.124510858289264
-4.799999999999999,53.60895291390281,50.36253161977499,42.17271702973174,31.273406479221787,20.074720704120388,11.649867004877411,3.2941822933344276,-4.934037063120275,-12.87998842802037
-4.699999999999999,53.42146424743979,50.622021632044564,42.80378048096248,31.927741555578994,20.616481630306534,12.087964820411205,3.660542071749575,-4.62721609619258,-12.63195793450356
-4.6,53.17272668559381,50.81536977040014,43.41365161355154,32.594653551718004,21.17316484470598,12.534338246860406,4.031720598801433,-4.316885317993179,-12.38063415435055
-4.5,52.86152941294199,50.935889164463845,43.99447555670841,33.27192690749679,21.744930628621066,12.988963937104842,4.407508710748718,-4.003318247786793,-12.126265153078345
-4.399999999999999,52.48705406608704,50.97721462610093,44.53740383743896,33.9566200174963,22.331795686064098,13.451764334141343,4.787654685705246,-3.686828923067367,-11.869135471270242
-4.299999999999999,52.04888526625259,50.93347596344607,45.032631330451906,34.644921352188625,22.933583694541007,13.922593347656576,5.171857940858971,-3.367776162165881,-11.609569571960964
-4.199999999999999,51.547013032376206,50.79947129856918,45.469488416636366,35.33199100874538,23.549862713517594,14.401218510953473,5.559761647990198,-3.0465682895151738,-11.347935568736402
-4.1,50.98182719278012,50.570831279228244,45.836598908809925,36.01179214372239,24.179866533418394,14.887298776191193,5.950944048293546,-2.723668385565412,-11.08464925562683
-4.0,50.35410425592601,50.24416468412835,46.122111512419615,36.67692014376814,24.822396659532526,15.380356921287511,6.344908199781766,-2.3996001342681943,-10.82017846170821
-3.8999999999999986,49.66498750905721,49.817176390889855,46.314007687927166,37.318441829165764,25.475701345427268,15.879745327720013,6.741069832838066,-2.0749543542300786,-10.555047755471785
-3.799999999999999,48.91596136779739,49.288750053603934,46.40048171702591,37.9257623828938,26.137328048455604,16.384603647119793,7.138742920191097,-1.7503963155312907,-10.289843526564292
-3.6999999999999993,48.10882118545513,48.65899003995796,46.370379936294356,38.486543694652426,26.80394607536092,16.893806613874425,7.537122485183882,-1.4266739633305234,-10.02521947553699
-3.5999999999999996,47.24563983976422,47.92921999477418,46.21367643274209,38.98670361601423,27.471137311613617,17.405899998202187,7.935264075480181,-1.104627192308109,-9.761902545897794
-3.5,46.32873244565937,47.10193851411172,45.92195348112303,39.41052989709951,28.133155188822723,17.91902246147345,8.332059217824499,-0.7851983433473174,-9.500699337180462
-3.3999999999999986,45.36062050022325,46.18073546746404,45.488848476869684,39.74094339144133,28.782655960487546,18.430810927804252,8.726206044099568,-0.4694441262195152,-9.242503043099251
-3.299999999999999,44.34399665997337,45.17017514205739,44.910426879930505,39.959940142671265,29.410412527968827,18.93828711134252,9.116174143168125,-0.1585492099433583,-8.988300965335918
-3.1999999999999993,43.28169119450984,44.075654320895275,44.1854439930605,40.04922896850473,30.005030058064083,19.437723172218316,9.500162554460896,0.14615823376779646,-8.739182661307296
-3.0999999999999996,42.17664096937354,42.90324447720715,43.3154675000329,39.9910588706625,30.55269477497481,19.92448531300218,9.87604969219806,0.44318869909498826,-8.496348793588588
-3.0,41.0318616001434,41.65952743640737,42.3048465651948,39.76919986238869,31.037002250140368,20.392855745269525,10.241333897850335,0.7308708375676328,-8.261120759681397
-2.8999999999999986,39.85042320360709,40.35143320935744,41.16052976696494,39.37000555274804,31.43892767490693,20.83583620875185,10.593063302336153,1.0073278262247467,-8.034951193607672
-2.799999999999999,38.63542996249259,38.98608741671542,39.89175034957788,38.78345331578172,31.737014498238075,21.244940537878822,10.927753799460925,1.2704501108196593,-7.81943544531546
-2.6999999999999993,37.390003527359795,37.57067403272507,38.509610418096706,38.00403750996395,31.907863574385207,21.60999007746122,11.241294278937188,1.5178639756752594,-7.61632415976572
