Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-30.0,-1315.0543040141215,-1331.0268298751498,-1342.604424941977,-1349.8134517167455,-1352.6831921921491,-1355.3281404774868,-1353.6299977758065,-1347.5762017562693,-1337.1567934023788
-29.8,-1315.6892816228997,-1331.6621623211347,-1343.2371346351333,-1350.4405630410986,-1353.3017482830437,-1355.948355133278,-1354.2491929284597,-1348.191717928031,-1337.7659903672466
-29.6,-1316.3302527125584,-1332.3035612440224,-1343.8759614104856,-1351.0738171784571,-1353.9264457593783,-1356.5746656506406,-1354.8744199088892,-1348.8131847777966,-1338.3810409149912
-29.4,-1316.9772860556868,-1332.9510984635249,-1344.52098003273,-1351.7132916336586,-1354.5573645622803,-1357.207149898765,-1355.5057544983058,-1349.4406760281317,-1339.0020167750627
-29.2,-1317.6304508463577,-1333.604846350169,-1345.1722659531417,-1352.3590647361268,-1355.1945855936049,-1357.8458866272306,-1356.14327328722,-1350.0742661505617,-1339.6289903774177
-29.0,-1318.2898166652267,-1334.2648777964916,-1345.829895287389,-1353.011215624626,-1355.8381907077733,-1358.4909554545575,-1356.7870536613416,-1350.7140303495105,-1340.2620348352243
-28.8,-1318.9554534411914,-1334.9312661851216,-1346.4939447905824,-1353.6698242296338,-1356.4882627016204,-1359.1424368546225,-1357.4371737852375,-1351.360044543932,-1340.901223925232
-28.6,-1319.6274314093557,-1335.6040853535044,-1347.1644918293484,-1354.3349712531337,-1357.144885302081,-1359.8004121407582,-1358.0937125835646,-1352.012385346444,-1341.546632065626
-28.4,-1320.3058210650183,-1336.2834095550174,-1347.8416143506863,-1355.0067381456195,-1357.8081431515243,-1360.4649634473462,-1358.7567497196742,-1352.6711300397715,-1342.198334291162
-28.2,-1320.9906931133814,-1336.9693134161853,-1348.525390847352,-1355.6852070800767,-1358.478121790536,-1361.1361737086852,-1359.4263655713794,-1353.336356550273,-1342.8564062253658
-28.0,-1321.6821184146656,-1337.6618718897078,-1349.2159003195013,-1356.3704609226995,-1359.1549076379324,-1361.8141266349187,-1360.1026412036497,-1354.0081434183267,-1343.5209240495708
-27.8,-1322.380167924275,-1338.3611602029705,-1349.9132222322921,-1357.0625832000742,-1359.8385879677624,-1362.498906684771,-1360.7856583379867,-1354.6865697653166,-1344.191964468533
-27.6,-1323.084912627642,-1339.0672538016943,-1350.6174364691265,-1357.7616580625418,-1360.5292508830564,-1363.1905990348316,-1361.4754993182114,-1355.3717152569554,-1344.86960467237
-27.4,-1323.7964234693575,-1339.7802282883474,-1351.3286232801945,-1358.4677702434346,-1361.2269852860347,-1363.8892895451033,-1362.1722470723726,-1356.0636600626506,-1345.55392229452
-27.2,-1324.5147712761384,-1340.50015935492,-1352.0468632259453,-1359.1810050138467,-1361.9318808444878,-1364.5950647205082,-1362.8759850704691,-1356.7624848105957,-1346.244995365418
-27.0,-1325.2400266731852,-1341.2271227096282,-1352.772237115097,-1359.9014481325837,-1362.6440279540034,-1365.3080116680233,-1363.5867972776439,-1357.4682705382595,-1346.9429022615518
-26.8,-1325.9722599934157,-1341.9611939970778,-1353.5048259367384,-1360.6291857909,-1363.3635176956955,-1366.0282180490844,-1364.3047681024902,-1358.1810986378957,-1347.6477216495343
-26.6,-1326.711541179041,-1342.7024487113874,-1354.2447107860828,-1361.3643045516067,-1364.0904417890642,-1366.7557720268799,-1365.0299823400828,-1358.901050796692,-1348.3595324248056
-26.4,-1327.4579396749014,-1343.4509621017262,-1354.9919727833549,-1362.1068912820958,-1364.8248925395771,-1367.4907622081128,-1365.7625251093011,-1359.6282089311267,-1349.078413644541
-26.2,-1328.211524312937,-1344.2068090696864,-1355.7466929852826,-1362.8570330807913,-1365.5669627805412,-1368.2332775787854,-1366.5024817840017,-1360.3626551150812,-1349.8044444543175
-26.0,-1328.9723631871136,-1344.9700640578528,-1356.5089522886126,-1363.6148171965003,-1366.3167458087853,-1368.9834074335229,-1367.2499379175395,-1361.1044715012124,-1350.5377040080461
-25.8,-1329.7405235180838,-1345.7408009288945,-1357.2788313250153,-1364.3803309400957,-1367.0743353136545,-1369.7412412979086,-1368.0049791601105,-1361.8537402350569,-1351.2782713806448
-25.6,-1330.5160715067902,-1346.5190928344432,-1358.0564103467113,-1365.1536615879083,-1367.839825298749,-1370.506868843267,-1368.7676911683404,-1362.6105433612877,-1352.0262254728864
-25.4,-1331.2990721761669,-1347.305012072965,-1358.84176910208,-1365.934896276168,-1368.6133099958217,-1371.2803797932804,-1369.5381595065037,-1363.374962721509,-1352.7816449078036
-25.2,-1332.0895892000253,-1348.0986299357698,-1359.634986700461,-1366.7241218857694,-1369.3948837701832,-1372.0618638217823,-1370.3164695386988,-1364.1470798429161,-1353.5446079179958
