Slip Angle (deg),FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-30.0,-591.8864620977293,-975.0714473446307,-1352.6831921921491,-1726.6107061172386,-2097.9527633909365
-29.8,-592.1459105879921,-975.5046395730575,-1353.3017482830437,-1727.43164597516,-2098.9934792386243
-29.6,-592.4079019923926,-975.9421506930669,-1353.9264457593783,-1728.2605488815236,-2100.043847957936
-29.4,-592.6724696528815,-976.3840383243772,-1354.5573645622803,-1729.097511392517,-2101.103970945721
-29.2,-592.9396473496345,-976.8303608596863,-1355.1945855936049,-1729.9426308818906,-2102.173949674361
-29.0,-593.2094693009952,-977.2811774648662,-1355.8381907077733,-1730.7960055066828,-2103.2538856009146
-28.8,-593.4819701628388,-977.7365480781315,-1356.4882627016204,-1731.657734168987,-2104.343880068678
-28.6,-593.7571850272988,-978.196533408081,-1357.144885302081,-1732.527916473453,-2105.44403420062
-28.4,-594.0351494208011,-978.6611949305059,-1357.8081431515243,-1733.4066526801962,-2106.5544487841107
-28.2,-594.3158993013425,-979.130594883855,-1358.478121790536,-1734.2940436527383,-2107.6752241463087
-28.0,-594.5994710549425,-979.6047962632294,-1359.1549076379324,-1735.1901908006091,-2108.8064600195335
-27.8,-594.8859014911983,-980.083862812774,-1359.8385879677624,-1736.0951960161822,-2109.948255395902
-27.6,-595.1752278378619,-980.5678590163252,-1360.5292508830564,-1737.0091616052957,-2111.1007083704476
-27.4,-595.4674877343531,-981.0568500861547,-1361.2269852860347,-1737.9321902111828,-2112.263915971893
-27.2,-595.7627192241147,-981.5509019496426,-1361.9318808444878,-1738.8643847311798,-2113.437973980167
-27.0,-596.0609607457131,-982.0500812336985,-1362.6440279540034,-1739.8058482256592,-2114.62297672972
-26.8,-596.3622511225719,-982.5544552467317,-1363.3635176956955,-1740.7566838185796,-2115.8190168975793
-26.6,-596.6666295512221,-983.0640919579572,-1364.0904417890642,-1741.716994588996,-2117.026185275055
-26.4,-596.9741355879446,-983.5790599738086,-1364.8248925395771,-1742.6868834528395,-2118.244570521873
-26.2,-597.2848091336645,-984.0994285112046,-1365.5669627805412,-1743.6664530341907,-2119.474258901467
-26.0,-597.5986904169505,-984.6252673674014,-1366.3167458087853,-1744.6558055252474,-2120.7153339960305
-25.8,-597.9158199749604,-985.1566468861363,-1367.0743353136545,-1745.655042534086,-2121.9678763998395
-25.6,-598.2362386321555,-985.6936379197464,-1367.839825298749,-1746.6642649192793,-2123.2319633892375
-25.4,-598.5599874765998,-986.2363117869168,-1368.6133099958217,-1747.6835726103284,-2124.5076685675535
-25.2,-598.8871078336373,-986.7847402256884,-1369.3948837701832,-1748.7130644128063,-2125.7950614830847
-25.0,-599.2176412367309,-987.3389953413198,-1370.1846410169092,-1749.7528377970093,-2127.094207218136
-24.8,-599.5516293952206,-987.8991495485662,-1370.982676047102,-1750.8029886688166,-2128.4051659469474
-24.6,-599.8891141587444,-988.4652755079018,-1371.7890829633725,-1751.8636111213598,-2129.727992460174
-24.4,-600.2301374780428,-989.0374460551694,-1372.603955523663,-1752.93479716598,-2131.0627356533964
-24.2,-600.5747413618415,-989.6157341241018,-1373.4273869924375,-1754.0166364408335,-2132.4094379769404
-24.0,-600.922967829483,-990.200212661105,-1374.2594699781978,-1755.1092158953727,-2133.768134844068
-23.8,-601.2748588589536,-990.7909545316517,-1375.1002962561897,-1756.2126194487741,-2135.1388539943723
-23.6,-601.6304563299122,-991.3880324175632,-1375.9499565750648,-1757.3269276202338,-2136.5216148089467
-23.4,-601.9898019613073,-991.9915187044113,-1376.8085404461674,-1758.4522171288756,-2137.9164275736257
-23.2,-602.352937243119,-992.6014853581925,-1377.676135913988,-1759.588560460827,-2139.323292686297
-23.0,-602.7199033617361,-993.2180037903591,-1378.5528293062125,-1760.7360254008072,-2140.7421998039554
-22.8,-603.0907411184245,-993.841144710212,-1379.4387049616535,-1761.8946745253622,-2142.1731269248166
-22.6,-603.4654908403032,-994.4709779635695,-1380.3338449341982,-1763.0645646546188,-2143.6160394004255
-22.4,-603.8441922831929,-995.1075723565315,-1381.2383286707532,-1764.2457462591772,-2145.0708888722656
-22.2,-604.226884525638,-995.7509954630566,-1382.1522326609804,-1765.4382628184637,-2146.53761212694
-22.0,-604.6136058533544,-996.4013134149517,-1383.0756300564287,-1766.6421501265518,-2148.016129863473
-21.799999999999997,-605.0043936332792,-997.0585906727474,-1384.0085902564472,-1767.8574355411076,-2149.506345365765
-21.6,-605.3992841763243,-997.7228897757999,-1384.9511784580438,-1769.0841371707459,-2151.008143072629
-21.4,-605.7983125878641,-998.3942710698045,-1385.9034551665823,-1770.3222629956558,-2152.5213870372027
-21.2,-606.2015126048909,-999.0727924097426,-1386.8654756639473,-1771.5718099159187,-2154.045919266828
-21.0,-606.6089164186786,-999.7585088361028,-1387.8372894304837,-1772.832762721429,-2155.581557933735
-20.799999999999997,-607.0205544816881,-1000.451472222018,-1388.8189395166953,-1774.1050929767978,-2157.128095446021
-20.6,-607.4364552973351,-1001.1517308887375,-1389.8104618603093,-1775.3887578140161,-2158.6852963675165
-20.4,-607.8566451911055,-1001.8593291866222,-1390.811884543907,-1776.683698625014,-2160.2528951741447
-20.2,-608.2811480613708,-1002.5743070385748,-1391.8232269878793,-1777.9898396455205,-2161.8305938332765
-20.0,-608.7099851080975,-1003.2966994425332,-1392.8444990729759,-1779.3070864208669,-2163.4180591914146
-19.799999999999997,-609.1431745374734,-1004.0265359293331,-1393.8757001861688,-1780.6353241434942,-2165.014920154246
-19.6,-609.5807312402875,-1004.7638399718933,-1394.91681818297,-1781.9744158509973,-2166.620764641668
-19.4,-610.0226664416955,-1005.5086283412835,-1395.9678282586767,-1783.3242004724884,-2168.235136298863
-19.2,-610.4689873197686,-1006.2609104048091,-1397.0286917203018,-1784.6844907099312,-2169.8575309427843
-19.0,-610.9196965899803,-1007.0206873607732,-1398.099354650153,-1786.0550707398284,-2171.487392721558
-18.799999999999997,-611.3747920524976,-1007.7879514040443,-1399.1797464511437,-1787.4356937192763,-2173.12410996228
-18.6,-611.8342660988475,-1008.5626848159872,-1400.269778262947,-1788.826079078866,-2174.7670106804276
-18.4,-612.2981051741771,-1009.344858971668,-1401.3693412370355,-1790.2259095832464,-2176.415357721702
-18.2,-612.7662891909586,-1010.1344332565327,-1402.4783046574682,-1791.6348281382946,-2178.068343504374
-18.0,-613.2387908895704,-1010.9313538839745,-1403.5965138929598,-1793.0524343218271,-2179.725084327308
-17.799999999999997,-613.7155751407211,-1011.7355526043261,-1404.7237881643412,-1794.4782806125056,-2181.38461420559
-17.6,-614.1965981841719,-1012.5469452948564,-1405.8599181098775,-1795.9118682891296,-2183.045878192117
-17.4,-614.6818067976449,-1013.3654304192528,-1407.0046631291634,-1797.3526429697367,-2184.7077251396404
-17.2,-615.1711373891661,-1014.1908873439004,-1408.1577484842976,-1798.7999897569225,-2186.368899853443
-17.0,-615.6645150053945,-1015.0231744969161,-1409.3188621348772,-1800.2532279524064,-2188.0280345801475
-16.799999999999997,-616.1618522476954,-1015.862127354427,-1410.4876512808814,-1801.7116053001766,-2189.6836397729685
-16.6,-616.6630480868516,-1016.7075562369275,-1411.6637185848158,-1803.174291713411,-2191.3340940680414
-16.4,-617.1679865663234,-1017.5592438967087,-1412.8466180414625,-1804.6403724358356,-2192.9776334002277
-16.2,-617.6765353828825,-1018.4169428753015,-1414.035850460211,-1806.1088405831058,-2194.612339179897
-16.0,-618.1885443322333,-1019.280372607579,-1415.2308585212131,-1807.5785890042152,-2196.2361254446755
-15.799999999999999,-618.703843605864,-1020.1492162466014,-1416.4310213624037,-1809.0484013967102,-2197.8467248918037
-15.6,-619.2222419238626,-1021.0231171804126,-1417.6356486497841,-1810.5169426025902,-2199.4416736876583
-15.399999999999999,-619.7435244867121,-1021.9016752087948,-1418.8439740781469,-1811.9827480041295,-2201.018294940919
-15.2,-620.2674507271763,-1022.7844423443731,-1420.0551482436076,-1813.4442119303299,-2202.573680714859
-15.0,-620.7937518412355,-1023.670918198436,-1421.268230822795,-1814.8995749752758,-2204.1046724420903
