Slip Ratio,FZ = 300 N,FZ = 500 N,FZ = 700 N,FZ = 900 N,FZ = 1100 N
-0.3,-477.88277317454504,-1072.146463122987,-1466.8839959625611,-2038.036687306427,-1595.9424568082302
-0.298,-483.47719912035586,-1072.0606912070157,-1467.6117252815438,-2038.0236661871556,-1628.4096120538711
-0.296,-488.924791391141,-1071.9827304746761,-1468.3551607813074,-2037.9996768001693,-1660.0290966624877
-0.294,-494.22716796470064,-1071.9127666991842,-1469.1144536811767,-2037.965636072683,-1690.8054238043385
-0.292,-499.3860213027075,-1071.8509845457045,-1469.8897529178255,-2037.9224504876047,-1720.7440406947528
-0.29,-504.4031134295624,-1071.7975674046395,-1470.6812048104093,-2037.8710156530033,-1749.8512765840046
-0.288,-509.2802711029513,-1071.752697211195,-1471.4889527003077,-2037.8122158342114,-1778.1342908281295
-0.286,-514.0193810826099,-1071.7165542502548,-1472.3131365637075,-2037.7469234456878,-1805.6010212288766
-0.284,-518.6223855030021,-1071.6893169455159,-1473.1538925951056,-2037.6759984995817,-1832.2601328154024
-0.282,-523.091277354834,-1071.6711616317696,-1474.0113527596964,-2037.6002880077106,-1858.1209672247578
-0.27999999999999997,-527.428096079589,-1071.6622623091325,-1474.8856443124484,-2037.5206253334288,-1883.1934928229475
-0.27799999999999997,-531.6349232805348,-1071.6627903779483,-1475.7768892815313,-2037.4378294896285,-1907.4882556930309
-0.27599999999999997,-535.7138785529655,-1071.6729143529838,-1476.6852039135729,-2037.3527043788276,-1931.0163316019916
-0.27399999999999997,-539.6671154357757,-1071.6927995554545,-1477.6106980780653,-2037.2660379710246,-1953.7892790436454
-0.27199999999999996,-543.4968174858319,-1071.7226077813023,-1478.5534746280257,-2037.1786014146771,-1975.8190934408235
-0.27,-547.2051944759954,-1071.7624969440403,-1479.5136287138284,-2037.0911480758382,-1997.1181625767183
-0.268,-550.7944787170866,-1071.8126206903555,-1480.4912470468892,-2037.0044125001134,-2017.6992233123326
-0.266,-554.266921503519,-1071.8731279865303,-1481.4864071096588,-2036.9191092917267,-2037.5753196347075
-0.264,-557.624789681838,-1071.9441626736143,-1482.4991763081107,-2036.8359319035594,-2056.7597620689744
-0.262,-560.8703623408837,-1072.0258629891098,-1483.5296110626487,-2036.7555513315826,-2075.266088476275
